Record Type,VIN,Registration Class,City,State,Zip,County,Model Year,Make,Body Type,Fuel Type,Unladen Weight,Maximum Gross Weight,Passengers,Reg Valid Date,Reg Expiration Date,Color,Scofflaw Indicator,Suspension Indicator,Revocation Indicator
VEH ,1G1RC6S57GU123266,PAS,HILTON         ,NY,14468,MONROE      ,2016,CHEVR,4DSD,ELECTRIC,3479,,,11/10/2017,12/22/2019,BL   ,N,N,N
VEH ,1G1RC6S56HU140464,PAS,WESTPORT       ,NY,12993,ESSEX       ,2017,CHEVR,4DSD,ELECTRIC,3489,,,04/25/2017,04/23/2019,BK   ,N,N,N
VEH ,1G1RC6S55HU101767,PAS,KATONAH        ,NY,10536,WESTCHESTER ,2017,CHEVR,4DSD,ELECTRIC,3518,,,10/21/2016,12/05/2018,BK   ,N,N,N
VEH ,1G1RC6S54HU157702,PAS,STATEN ISLAND  ,NY,10314,RICHMOND    ,2017,CHEVR,4DSD,ELECTRIC,3478,,,10/07/2017,10/06/2019,BL   ,N,N,N
VEH ,1G1RC6S50GU136540,PAS,TROY           ,NY,12180,RENSSELAER  ,2016,CHEVR,4DSD,ELECTRIC,3543,,,08/31/2016,11/28/2018,WH   ,N,N,N
VEH ,1G1RC6S5XHU211195,PAS,CANANDAIGUA    ,NY,14424,ONTARIO     ,2017,CHEVR,4DSD,ELECTRIC,3482,,,06/30/2017,04/11/2019,WH   ,N,N,N
VEH ,1G1RC6S5XHU100419,PAS,MERRICK        ,NY,11566,NASSAU      ,2017,CHEVR,4DSD,ELECTRIC,3520,,,03/21/2017,03/15/2019,BL   ,N,N,N
VEH ,1G1RC6E44DU110358,PAS,ROCHESTER      ,NY,14609,MONROE      ,2013,CHEVR,4DSD,ELECTRIC,3743,,,07/21/2018,09/05/2020,WH   ,N,N,N
VEH ,1G1RB6E45DU126488,PAS,WAPPINGERS FAL ,NY,12590,DUTCHESS    ,2013,CHEVR,4DSD,ELECTRIC,3727,,,08/01/2017,08/31/2019,BK   ,N,N,N
VEH ,1G1RB6E43CU115312,PAS,CHATHAM        ,NY,12037,COLUMBIA    ,2012,CHEVR,4DSD,ELECTRIC,3707,,,08/09/2017,09/05/2019,BL   ,N,N,N
